Lasse Blaauwbroek, David M. Cerna, Thibault Gauthier, Jan Jakubuv, Cezary Kaliszyk, Martin Suda, Josef Urban 	 Learning Guided Automated Reasoning: A Brief Survey. 	 2024 	 AR, FM 	 https://doi.org/10.48550/arXiv.2403.04017 	 arXiv CoRR abs/2403.04017 (2024).
Ana Belén Cara, Zsófia Lendek, Robert Babuska, Héctor Pomares, Ignacio Rojas 	 Online self-organizing adaptive fuzzy controller: Application to a nonlinear servo system. 	 2010 	 ML 	 https://doi.org/10.1109/FUZZY.2010.5584027 	 FUZZ-IEEE 2010, IEEE International Conference on Fuzzy Systems, Barcelona, Spain, 18-23 July, 2010, Proceedings: 1-8 (2010).
Zsófia Lendek, Thierry-Marie Guerra, Robert Babuska 	 On non-PDC local observers for TS fuzzy systems. 	 2010 	 ML 	 https://doi.org/10.1109/FUZZY.2010.5584650 	 FUZZ-IEEE 2010, IEEE International Conference on Fuzzy Systems, Barcelona, Spain, 18-23 July, 2010, Proceedings: 1-7 (2010).
Andrea Simonetto, Tamás Keviczky, Robert Babuska 	 Distributed nonlinear estimation for robot localization using weighted consensus. 	 2010 	 ML 	 https://doi.org/10.1109/ROBOT.2010.5509143 	 IEEE International Conference on Robotics and Automation, ICRA 2010, Anchorage, Alaska, USA, 3-7 May 2010: 3026-3031 (2010).
Erik Schuitema, Lucian Busoniu, Robert Babuska, Pieter Jonker 	 Control delay in Reinforcement Learning for real-time dynamic systems: A memoryless approach. 	 2010 	 ML 	 https://doi.org/10.1109/IROS.2010.5650345 	 2010 IEEE/RSJ International Conference on Intelligent Robots and Systems, October 18-22, 2010, Taipei, Taiwan: 3226-3231 (2010).
David van der Lijn, Gabriel A. D. Lopes, Robert Babuska 	 Motion estimation based on predator/prey vision. 	 2010 	 ML 	 https://doi.org/10.1109/IROS.2010.5653247 	 2010 IEEE/RSJ International Conference on Intelligent Robots and Systems, October 18-22, 2010, Taipei, Taiwan: 3435-3440 (2010).
Zulkifli Hidayat, Zsófia Lendek, Robert Babuska, Bart De Schutter 	 Fuzzy observer for state estimation of the METANET traffic model. 	 2010 	 ML 	 https://www.wikidata.org/entity/Q108430524 	 13th International IEEE Conference on Intelligent Transportation Systems, Funchal, Madeira, Portugal, 19-22 September 2010: 19-24 (2010).
Diogo Alves, Jelmer van Ast, Zhe Cong, Bart De Schutter, Robert Babuska 	 Ant Colony Optimization for traffic dispersion routing. 	 2010 	 ML 	 https://www.wikidata.org/entity/Q108430514 	 13th International IEEE Conference on Intelligent Transportation Systems, Funchal, Madeira, Portugal, 19-22 September 2010: 683-688 (2010).
Gabriel A. D. Lopes, Ton J. J. van den Boom, Bart De Schutter, Robert Babuska 	 Modeling and control of legged locomotion via switching max-plus systems. 	 2010 	 ML 	 https://doi.org/10.3182/20100830-3-DE-4013.00063 	 10th International Workshop on Discrete Event Systems, WODES 2010, Berlin, Germany, August 30 - September 01, 2010.: 382-387 (2010).
Lucian Busoniu, Bart De Schutter, Robert Babuska 	 Approximate Dynamic Programming and Reinforcement Learning. 	 2010 	 ML 	 https://www.wikidata.org/entity/Q108430517 	 Interactive Collaborative Information Systems: 3-44 (2010).
Jelmer Marinus van Ast, Robert Babuska, Bart De Schutter 	 Ant Colony Learning Algorithm for Optimal Control. 	 2010 	 ML 	 https://www.wikidata.org/entity/Q108430513 	 Interactive Collaborative Information Systems: 155-182 (2010).
Robert Babuska, Frans C. A. Groen 	 Interactive Collaborative Information Systems 	 2010 	 ML 	 https://doi.org/10.1007/978-3-642-11688-9 	 Studies in Computational Intelligence, Springer (2010).
Jelmer Marinus van Ast, Robert Babuska, Bart De Schutter 	 Novel ant colony optimization approach to optimal control. 	 2009 	 ML 	 https://www.wikidata.org/entity/Q108430664 	 Int. J. Intell. Comput. Cybern. 2: 414-434 (2009).
Zsófia Lendek, Robert Babuska, Bart De Schutter 	 Stability of Cascaded Fuzzy Systems and Observers. 	 2009 	 ML 	 https://doi.org/10.1109/TFUZZ.2008.924353 	 IEEE Trans. Fuzzy Syst. 17: 641-653 (2009).
Lucian Busoniu, Damien Ernst, Bart De Schutter, Robert Babuska 	 Policy search with cross-entropy optimization of basis functions. 	 2009 	 ML 	 https://www.wikidata.org/entity/Q108430669 	 IEEE Symposium on Adaptive Dynamic Programming and Reinforcement Learning, ADPRL 2009, Nashville, TN, USA, March 31 - April 1, 2009: 153-160 (2009).
Jelmer van Ast, Robert Babuska, Bart De Schutter 	 Fuzzy Ant Colony Optimization for optimal control. 	 2009 	 ML 	 https://www.wikidata.org/entity/Q108430623 	 American Control Conference, ACC 2009. St. Louis, Missouri, USA, June 10-12, 2009: 1003-1008 (2009).
Ö. Aydin Tekin, Robert Babuska, Tetsuo Tomiyama, Bart De Schutter 	 Toward a flexible control design framework to automatically generate control code for mechatronic systems. 	 2009 	 ML 	 https://doi.org/10.1109/ACC.2009.5160184 	 American Control Conference, ACC 2009. St. Louis, Missouri, USA, June 10-12, 2009: 4933-4938 (2009).
Alaa F. Sheta, Ertan Öznergiz, M. A. Abdelrahman, Robert Babuska 	 Modeling of Hot Rolling Industrial Process Using Fuzzy Logic. 	 2009 	 ML 	  	 Proceedings of the ISCA 22nd International Conference on Computer Applications in Industry and Engineering, CAINE 2009, November 4-6, 2009, Hilton San Francisco Fisherman's Wharf, San Francisco, California, USA: 81-86 (2009).
Gabriel A. D. Lopes, Robert Babuska, Bart De Schutter, Ton J. J. van den Boom 	 Switching Max-Plus models for legged locomotion. 	 2009 	 ML 	 https://doi.org/10.1109/ROBIO.2009.5420626 	 IEEE International Conference on Robotics and Biomimetics, ROBIO 2009, December 19-13, 2009, Guilin, Guangxi, China: 221-226 (2009).
Zsófia Lendek, Robert Babuska, Bart De Schutter 	 Distributed Kalman filtering for cascaded systems. 	 2008 	 ML 	 https://doi.org/10.1016/j.engappai.2007.05.002 	 Eng. Appl. Artif. Intell. 21: 457-469 (2008).
Domenico Bellomo, David Naso, Robert Babuska 	 Adaptive fuzzy control of a non-linear servo-drive: Theory and experimental results. 	 2008 	 ML 	 https://doi.org/10.1016/j.engappai.2007.11.002 	 Eng. Appl. Artif. Intell. 21: 846-857 (2008).
Robert Babuska, Ebrahim Mamdani 	 Fuzzy control. 	 2008 	 ML 	 https://doi.org/10.4249/scholarpedia.2103 	 Scholarpedia 3: (2008).
Lucian Busoniu, Robert Babuska, Bart De Schutter 	 A Comprehensive Survey of Multiagent Reinforcement Learning. 	 2008 	 ML 	 https://doi.org/10.1109/TSMCC.2007.913919 	 IEEE Trans. Syst. Man Cybern. Part C 38: 156-172 (2008).
Jelmer van Ast, Robert Babuska, Bart De Schutter 	 Ant Colony Optimization for optimal control. 	 2008 	 ML 	 https://doi.org/10.1109/CEC.2008.4631068 	 Proceedings of the IEEE Congress on Evolutionary Computation, CEC 2008, June 1-6, 2008, Hong Kong, China: 2040-2046 (2008).
Jelmer van Ast, Robert Babuska, Bart De Schutter 	 A general modeling framework for swarms. 	 2008 	 ML 	 https://doi.org/10.1109/CEC.2008.4631312 	 Proceedings of the IEEE Congress on Evolutionary Computation, CEC 2008, June 1-6, 2008, Hong Kong, China: 3795-3800 (2008).
Lucian Busoniu, Damien Ernst, Bart De Schutter, Robert Babuska 	 Consistency of fuzzy model-based reinforcement learning. 	 2008 	 ML 	 https://doi.org/10.1109/FUZZY.2008.4630417 	 FUZZ-IEEE 2008, IEEE International Conference on Fuzzy Systems, Hong Kong, China, 1-6 June, 2008, Proceedings: 518-524 (2008).
Zsófia Lendek, Robert Babuska, Bart De Schutter 	 Stability analysis and observer design for decentralized TS fuzzy systems. 	 2008 	 ML 	 https://doi.org/10.1109/FUZZY.2008.4630435 	 FUZZ-IEEE 2008, IEEE International Conference on Fuzzy Systems, Hong Kong, China, 1-6 June, 2008, Proceedings: 631-636 (2008).
Robert Babuska 	 Complexity Management in Fuzzy Systems: A Rule Base Compression Approach [Book Review]. 	 2007 	 ML 	 https://doi.org/10.1109/MCI.2007.906693 	 IEEE Comput. Intell. Mag. 2: 42-43 (2007).
Lucian Busoniu, Damien Ernst, Bart De Schutter, Robert Babuska 	 Continuous-State Reinforcement Learning with Fuzzy Approximation. 	 2007 	 ML 	 https://doi.org/10.1007/978-3-540-77949-0_3 	 Adaptive Agents and Multi-Agent Systems III. Adaptation and Multi-Agent Learning, 5th, 6th, and 7th European Symposium, ALAMAS 2005-2007 on Adaptive and Learning Agents and Multi-Agent Systems, Revised Selected Papers: 27-43 (2007).
Lucian Busoniu, Damien Ernst, Bart De Schutter, Robert Babuska 	 Fuzzy Approximation for Convergent Model-Based Reinforcement Learning. 	 2007 	 ML 	 https://doi.org/10.1109/FUZZY.2007.4295497 	 FUZZ-IEEE 2007, IEEE International Conference on Fuzzy Systems, Imperial College, London, UK, 23-26 July, 2007, Proceedings: 1-6 (2007).
Zsófia Lendek, Robert Babuska, Bart De Schutter 	 Stability of Cascaded Takagi-Sugeno Fuzzy Systems. 	 2007 	 ML 	 https://doi.org/10.1109/FUZZY.2007.4295418 	 FUZZ-IEEE 2007, IEEE International Conference on Fuzzy Systems, Imperial College, London, UK, 23-26 July, 2007, Proceedings: 1-6 (2007).
Wolfgang A. Halang, Ricardo Sanz, Robert Babuska, Hubert Roth 	 Information and communication technology embraces control: Status report prepared by the IFAC Coordinating Committee on Computers, Cognition and Communication. 	 2006 	 ML 	 https://doi.org/10.1016/j.arcontrol.2006.03.001 	 Annu. Rev. Control. 30: 31-40 (2006).
Koen Maertens, Josse De Baerdemaeker, Robert Babuska 	 Genetic polynomial regression as input selection algorithm for non-linear identification. 	 2006 	 ML 	 https://doi.org/10.1007/s00500-005-0008-8 	 Soft Comput. 10: 785-795 (2006).
Robert Babuska, Zsófia Lendek, Jelmer Braaksma, Cees de Keizer 	 Particle filtering for on-line estimation of overflow losses in a hopper dredger. 	 2006 	 ML 	 https://doi.org/10.1109/ACC.2006.1657642 	 American Control Conference, ACC 2006, Minneapolis, MN, USA, 14-16 June, 2006: 1-6 (2006).
Robert Babuska, Jelmer van Ast, Samir Mesic 	 A Fuzzy-logic System for Detecting Oscillations in Control Loops. 	 2006 	 ML 	 https://doi.org/10.1109/FUZZY.2006.1681879 	 IEEE International Conference on Fuzzy Systems, FUZZ-IEEE 2006, Vancouver, BC, Canada, July 16-21, 2006: 1310-1315 (2006).
Marcel Oosterom, Robert Babuska 	 Virtual Sensor for the Angle-of-Attack Signal in Small Commercial Aircraft. 	 2006 	 ML 	 https://doi.org/10.1109/FUZZY.2006.1681892 	 IEEE International Conference on Fuzzy Systems, FUZZ-IEEE 2006, Vancouver, BC, Canada, July 16-21, 2006: 1396-1403 (2006).
Lucian Busoniu, Robert Babuska, Bart De Schutter 	 Multi-Agent Reinforcement Learning: A Survey. 	 2006 	 ML 	 https://doi.org/10.1109/ICARCV.2006.345353 	 Ninth International Conference on Control, Automation, Robotics and Vision, ICARCV 2006, Singapore, 5-8 December 2006, Proceedings: 1-6 (2006).
Lucian Busoniu, Bart De Schutter, Robert Babuska 	 Decentralized Reinforcement Learning Control of a Robotic Manipulator. 	 2006 	 ML 	 https://doi.org/10.1109/ICARCV.2006.345351 	 Ninth International Conference on Control, Automation, Robotics and Vision, ICARCV 2006, Singapore, 5-8 December 2006, Proceedings: 1-6 (2006).
Jelmer van Ast, Robert Babuska 	 Dynamic Exploration in Q(lambda)-learning. 	 2006 	 ML 	 https://doi.org/10.1109/IJCNN.2006.246657 	 Proceedings of the International Joint Conference on Neural Networks, IJCNN 2006, part of the IEEE World Congress on Computational Intelligence, WCCI 2006, Vancouver, BC, Canada, 16-21 July 2006: 41-46 (2006).
Shouyi Wang, Jelmer Braaksma, Robert Babuska, Daan G. E. Hobbelen 	 Reinforcement Learning Control for Biped Robot Walking on Uneven Surfaces. 	 2006 	 ML 	 https://doi.org/10.1109/IJCNN.2006.246966 	 Proceedings of the International Joint Conference on Neural Networks, IJCNN 2006, part of the IEEE World Congress on Computational Intelligence, WCCI 2006, Vancouver, BC, Canada, 16-21 July 2006: 4173-4178 (2006).
Andreas Hegyi, Daniela Girimonte, Robert Babuska, Bart De Schutter 	 A comparison of filter configurations for freeway traffic state estimation. 	 2006 	 ML 	 https://doi.org/10.1109/ITSC.2006.1707357 	 IEEE Intelligent Transportation Systems Conference, ITSC 2006, Toronto, Ontario, Canada, 17-20 September 2006: 1029-1034 (2006).
Antonio Sala, Thierry-Marie Guerra, Robert Babuska 	 Perspectives of fuzzy systems and control. 	 2005 	 ML 	 https://doi.org/10.1016/j.fss.2005.05.041 	 Fuzzy Sets Syst. 156: 432-444 (2005).
Alexander Breijs, J. Ben Klaassens, Robert Babuska 	 Automated design environment for serial industrial manipulators. 	 2005 	 ML 	 https://doi.org/10.1108/01439910510573264 	 Ind. Robot 32: 32-34 (2005).
Lucian Busoniu, Bart De Schutter, Robert Babuska 	 Multiagent Reinforcement Learning with Adaptive State Focus. 	 2005 	 ML 	  	 BNAIC 2005 - Proceedings of the Seventeenth Belgium-Netherlands Conference on Artificial Intelligence, Brussels, Belgium, October 17-18, 2005: 35-42 (2005).
Domenico Bellomo, David Naso, Robert Babuska 	 Evaluation of adaptive fuzzy controllers: a real-world experiment. 	 2005 	 ML 	 https://doi.org/10.1109/FUZZY.2005.1452544 	 IEEE International Conference on Fuzzy Systems, FUZZ-IEEE 2005, Reno, Nevada, USA, May 22-25, 2005.: 1074-1079 (2005).
Xiangping Meng, Robert Babuska, Lucian Busoniu, Yu Chen, Wanyu Tan 	 An Improved Multiagent Reinforcement Learning Algorithm. 	 2005 	 ML 	 https://doi.ieeecomputersociety.org/10.1109/IAT.2005.42 	 Proceedings of the 2005 IEEE/WIC/ACM International Conference on Intelligent Agent Technology, Compiegne, France, September 19-22, 2005: 337-343 (2005).
Stanimir Mollov, Robert Babuska, János Abonyi, Henk B. Verbruggen 	 Effective optimization for fuzzy model predictive control. 	 2004 	 ML 	 https://doi.org/10.1109/TFUZZ.2004.834812 	 IEEE Trans. Fuzzy Syst. 12: 661-675 (2004).
Radek Sindelár, Robert Babuska 	 Input selection for nonlinear regression models. 	 2004 	 ML 	 https://doi.org/10.1109/TFUZZ.2004.834810 	 IEEE Trans. Fuzzy Syst. 12: 688-696 (2004).
János Abonyi, Robert Babuska 	 FUZZSAM - visualization of fuzzy clustering results by modified Sammon mapping. 	 2004 	 ML 	 https://doi.org/10.1109/FUZZY.2004.1375750 	 IEEE International Conference on Fuzzy Systems, FUZZ-IEEE 2004, Budapest, Hungary, July 25-29, 2004.: 365-370 (2004).
Daniela Girimonte, Robert Babuska, János Abonyi 	 Fuzzy clustering for selecting structure of nonlinear models with mixed discrete and continuous inputs. 	 2004 	 ML 	 https://doi.org/10.1109/FUZZY.2004.1375754 	 IEEE International Conference on Fuzzy Systems, FUZZ-IEEE 2004, Budapest, Hungary, July 25-29, 2004.: 383-387 (2004).
Domenico Bellomo, David Naso, Robert Babuska 	 Parameter Convergence in Adaptive Fuzzy Control. 	 2004 	 ML 	  	 ICINCO 2004, Proceedings of the First International Conference on Informatics in Control, Automation and Robotics, Setúbal, Portugal, August 25-28, 2004: 135-142 (2004).
Jelmer Braaksma, J. Ben Klaassens, Robert Babuska, Cees de Keizer 	 Hybrid Control Design for a Robot Manipulator in a Shield Tunneling Machine. 	 2004 	 ML 	  	 ICINCO 2004, Proceedings of the First International Conference on Informatics in Control, Automation and Robotics, Setúbal, Portugal, August 25-28, 2004: 185-192 (2004).
János Abonyi, Balazs Feil, Sándor Zoltán Németh, Peter Arva, Robert Babuska 	 State-space reconstruction and prediction of chaotic time series based on fuzzy clustering. 	 2004 	 ML 	 https://doi.org/10.1109/ICSMC.2004.1400684 	 Proceedings of the IEEE International Conference on Systems, Man & Cybernetics: The Hague, Netherlands, 10-13 October 2004: 2374-2380 (2004).
Daniela Girimonte, Robert Babuska 	 Structure selection for nonlinear models with mixed discrete and continuous inputs: a comparative study. 	 2004 	 ML 	 https://doi.org/10.1109/ICSMC.2004.1400687 	 Proceedings of the IEEE International Conference on Systems, Man & Cybernetics: The Hague, Netherlands, 10-13 October 2004: 2392-2397 (2004).
Robert Babuska, Henk B. Verbruggen 	 Neuro-fuzzy methods for nonlinear system identification. 	 2003 	 ML 	 https://doi.org/10.1016/S1367-5788(03)00009-9 	 Annu. Rev. Control. 27: 73-85 (2003).
Robert Babuska, Maurice R. Damen, Chris Hellinga, Henk Maarleveld 	 Intelligent adaptive control of bioreactors. 	 2003 	 ML 	 https://doi.org/10.1023/A%3A1022963716905 	 J. Intell. Manuf. 14: 255-265 (2003).
Samir Mesic, Robert Babuska, Henk C. Hoogsteden, Anton F. M. Verbraak 	 Computer-controlled mechanical simulation of the artificially ventilated human respiratory system. 	 2003 	 ML 	 https://www.wikidata.org/entity/Q47821151 	 IEEE Trans. Biomed. Eng. 50: 731-743 (2003).
Petr Korba, Robert Babuska, Henk B. Verbruggen, Paul Martin Frank 	 Fuzzy gain scheduling: controller and observer design based on Lyapunov method and convex optimization. 	 2003 	 ML 	 https://doi.org/10.1109/TFUZZ.2003.812680 	 IEEE Trans. Fuzzy Syst. 11: 285-298 (2003).
Tor Arne Johansen, Robert Babuska 	 Multiobjective identification of Takagi-Sugeno fuzzy models. 	 2003 	 ML 	 https://doi.org/10.1109/TFUZZ.2003.819824 	 IEEE Trans. Fuzzy Syst. 11: 847-860 (2003).
Johannes A. Roubos, Robert Babuska 	 Comments on the benchmarks in "A proposal for improving the accuracy of Linguistic Modeling" and related articles. 	 2003 	 ML 	 https://doi.org/10.1109/TFUZZ.2003.819822 	 IEEE Trans. Fuzzy Syst. 11: 861-865 (2003).
Robert Babuska 	 Advances in fuzzy control: from heuristic control to modern model-based approaches. 	 2003 	 ML 	 http://www.eusflat.org/proceedings/EUSFLAT_2003/papers/babuska.pdf 	 Proceedings of the 3rd Conference of the European Society for Fuzzy Logic and Technology, Zittau, Germany, September 10-12, 2003: 797-797 (2003).
Robert Babuska, Marcel Oosterom 	 Design of optimal membership functions for fuzzy gain-scheduled control. 	 2003 	 ML 	 https://doi.org/10.1109/FUZZ.2003.1209410 	 The 12th IEEE International Conference on Fuzzy Systems, FUZZ-IEEE 2003, St. Louis, Missouri, USA, 25-28 May 2003: 476-481 (2003).
Stanimir Mollov, Ton J. J. van den Boom, Federico Cuesta, Aníbal Ollero, Robert Babuska 	 Robust stability constraints for fuzzy model predictive control. 	 2002 	 ML 	 https://doi.org/10.1109/91.983278 	 IEEE Trans. Fuzzy Syst. 10: 50-64 (2002).
Marcel Oosterom, Robert Babuska, Henk B. Verbruggen 	 Soft computing applications in aircraft sensor management and flight control law reconfiguration. 	 2002 	 ML 	 https://doi.org/10.1109/TSMCC.2002.801357 	 IEEE Trans. Syst. Man Cybern. Part C 32: 125-139 (2002).
János Abonyi, Robert Babuska, Ferenc Szeifert 	 Modified Gath-Geva fuzzy clustering for identification of Takagi-Sugeno fuzzy models. 	 2002 	 ML 	 https://www.wikidata.org/entity/Q51894703 	 IEEE Trans. Syst. Man Cybern. Part B 32: 612-621 (2002).
Robert Babuska 	 Accuracy and Transparency of Fuzzy Systems. 	 2002 	 ML 	  	 Advances in Computational Intelligence and Learning: Methods and Applications: 3-16 (2002).
Alexandar Ichtev, J. Hellendoom, Robert Babuska, Stanimir Mollov 	 Fault-tolerant model-based predictive control using multiple Takagi-Sugeno fuzzy models. 	 2002 	 ML 	 https://doi.org/10.1109/FUZZ.2002.1005014 	 Proceedings of the 2002 IEEE International Conference on Fuzzy Systems, FUZZ-IEEE'02, Honolulu, Hawaii, USA, May 12 - 17, 2002.: 346-351 (2002).
Robert Babuska, P. J. van der Veen, Uzay Kaymak 	 Improved covariance estimation for Gustafson-Kessel clustering. 	 2002 	 ML 	 https://doi.org/10.1109/FUZZ.2002.1006654 	 Proceedings of the 2002 IEEE International Conference on Fuzzy Systems, FUZZ-IEEE'02, Honolulu, Hawaii, USA, May 12 - 17, 2002.: 1081-1085 (2002).
Magne Setnes, Robert Babuska 	 Rule base reduction: some comments on the use of orthogonal transforms. 	 2001 	 ML 	 https://doi.org/10.1109/5326.941843 	 IEEE Trans. Syst. Man Cybern. Syst. 31: 199-206 (2001).
János Abonyi, Robert Babuska, Ferenc Szeifert 	 Fuzzy modeling with multivariate membership functions: gray-box identification and control design. 	 2001 	 ML 	 https://www.wikidata.org/entity/Q51894731 	 IEEE Trans. Syst. Man Cybern. Part B 31: 755-767 (2001).
Fernando Jiménez, Antonio Fernandez Gómez-Skarmeta, Johannes A. Roubos, Robert Babuska 	 Accurate, Transparent, and Compact Fuzzy Models for Function Approximation and Dynamic Modeling through Multi-objective Evolutionary Optimization. 	 2001 	 ML 	 https://doi.org/10.1007/3-540-44719-9_46 	 Evolutionary Multi-Criterion Optimization, First International Conference, EMO 2001, Zurich, Switzerland, March 7-9, 2001, Proceedings: 653-667 (2001).
Stanimir Mollov, P. J. van der Veen, Robert Babuska 	 Nonlinear model predictive control of a GDI engine. 	 2001 	 ML 	 https://doi.org/10.23919/ECC.2001.7076080 	 6th European Control Conference, ECC 2001, Porto, Portugal, September 4-7, 2001: 1204-1210 (2001).
Marcel Oosterom, Robert Babuska 	 Fuzzy Gain Scheduling for Flight Control Laws. 	 2001 	 ML 	 https://doi.org/10.1109/FUZZ.2001.1009055 	 Proceedings of the 10th IEEE International Conference on Fuzzy Systems, Melbourne, Australia, December 2-5, 2001: 716-719 (2001).
Stanimir Mollov, Robert Babuska, Henk B. Verbruggen 	 Analysis of Interactions in MIMO Takagi-Sugeno Fuzzy Models. 	 2001 	 ML 	 https://doi.org/10.1109/FUZZ.2001.1009068 	 Proceedings of the 10th IEEE International Conference on Fuzzy Systems, Melbourne, Australia, December 2-5, 2001: 769-773 (2001).
Robert Babuska 	 Fault-Tolerant Output-Feedback Control Via Fuzzy State Blending. 	 2001 	 ML 	 https://doi.org/10.1109/FUZZ.2001.1009129 	 Proceedings of the 10th IEEE International Conference on Fuzzy Systems, Melbourne, Australia, December 2-5, 2001: 999-1003 (2001).
Ajoy Kumar Palit, Robert Babuska 	 Efficient Training Algorithm for Takagi-Sugeno Type Neuro-Fuzzy Network. 	 2001 	 ML 	 https://doi.org/10.1109/FUZZ.2001.1008912 	 Proceedings of the 10th IEEE International Conference on Fuzzy Systems, Melbourne, Australia, December 2-5, 2001: 1367-1371 (2001).
Alexandar Ichtev, Johannes Hellendoorn, Robert Babuska 	 Fault Detection and Isolation Using Multiple Takagi-Sugeno Fuzzy Models. 	 2001 	 ML 	 https://doi.org/10.1109/FUZZ.2001.1008946 	 Proceedings of the 10th IEEE International Conference on Fuzzy Systems, Melbourne, Australia, December 2-5, 2001: 1498-1502 (2001).
János Abonyi, Robert Babuska, Henk B. Verbruggen, Ferenc Szeifert 	 Incorporating prior knowledge in fuzzy model identification. 	 2000 	 ML 	 https://doi.org/10.1080/002077200290966 	 Int. J. Syst. Sci. 31: 657-667 (2000).
Marcel Oosterom, Robert Babuska 	 Virtual sensor for fault detection and isolation in flight control systems - fuzzy modeling approach. 	 2000 	 ML 	 https://doi.org/10.1109/CDC.2000.914204 	 39th IEEE Conference on Decision and Control, CDC 2000, Sydney, Australia, December 12-15, 2000: 2645-2650 (2000).
Stanimir Mollov, Robert Babuska, Henk B. Verbruggen 	 Decoupling MBPC using fuzzy models. 	 2000 	 ML 	 https://doi.org/10.1109/FUZZY.2000.838696 	 The Ninth IEEE International Conference on Fuzzy Systems, FUZZ-IEEE 2000, San Antonio, Texas, USA, May 7-10, 2000. Proceedings.: 417-422 (2000).
D. Passaquay, M. Bross, Robert Babuska, Serge Boverie, André Titli 	 Performance evaluation of a fuzzy rule base for control purpose. 	 2000 	 ML 	 https://doi.org/10.1109/FUZZY.2000.838697 	 The Ninth IEEE International Conference on Fuzzy Systems, FUZZ-IEEE 2000, San Antonio, Texas, USA, May 7-10, 2000. Proceedings.: 423-428 (2000).
János Abonyi, Robert Babuska 	 Local and global identification and interpretation of parameters in Takagi-Sugeno fuzzy models. 	 2000 	 ML 	 https://doi.org/10.1109/FUZZY.2000.839140 	 The Ninth IEEE International Conference on Fuzzy Systems, FUZZ-IEEE 2000, San Antonio, Texas, USA, May 7-10, 2000. Proceedings.: 835-840 (2000).
Johannes A. Roubos, Stanimir Mollov, Robert Babuska, Henk B. Verbruggen 	 Fuzzy model-based predictive control using Takagi-Sugeno models. 	 1999 	 ML 	 https://doi.org/10.1016/S0888-613X(99)00020-1 	 Int. J. Approx. Reason. 22: 3-30 (1999).
Magne Setnes, Robert Babuska 	 Fuzzy relational classifier trained by fuzzy clustering. 	 1999 	 ML 	 https://www.wikidata.org/entity/Q38392411 	 IEEE Trans. Syst. Man Cybern. Part B 29: 619-625 (1999).
Robert Babuska, J. M. Sousa, Henk B. Verbruggen 	 Predictive control of nonlinear systems based on fuzzy and neural models. 	 1999 	 ML 	 https://doi.org/10.23919/ECC.1999.7099935 	 5th European Control Conference, ECC 1999, Karlsruhe, Germany, August 31 - September 3, 1999: 3868-3873 (1999).
P. J. van der Veen, Robert Babuska, Henk B. Verbruggen 	 Comparison of nonlinear predictive control methods for a waste-water treatment benchmark. 	 1999 	 ML 	 https://doi.org/10.23919/ECC.1999.7100056 	 5th European Control Conference, ECC 1999, Karlsruhe, Germany, August 31 - September 3, 1999: 4573-4577 (1999).
Magne Setnes, Robert Babuska, Henk B. Verbruggen 	 Transparent Fuzzy Modelling. 	 1998 	 ML 	 https://doi.org/10.1006/ijhc.1998.0197 	 Int. J. Hum. Comput. Stud. 49: 159-179 (1998).
Péter Baranyi, I. M. Bavelaar, Robert Babuska, László T. Kóczy, André Titli, Henk B. Verbruggen 	 A method to invert a linguistic fuzzy model. 	 1998 	 ML 	 https://doi.org/10.1080/00207729808929565 	 Int. J. Syst. Sci. 29: 711-721 (1998).
Marcel P. G. J. Besteman, Camille H. L. Limpens, Robert Babuska, John B. Otten, Michel Verhaegen 	 Modeling and identification of a strip guidance process with internal feedback. 	 1998 	 ML 	 https://doi.org/10.1109/87.654879 	 IEEE Trans. Control. Syst. Technol. 6: 88-102 (1998).
Walter M. van Buijtenen, Gerard Schram, Robert Babuska, Henk B. Verbruggen 	 Adaptive fuzzy control of satellite attitude by reinforcement learning. 	 1998 	 ML 	 https://doi.org/10.1109/91.669012 	 IEEE Trans. Fuzzy Syst. 6: 185-194 (1998).
Magne Setnes, Robert Babuska, Henk B. Verbruggen 	 Rule-based modeling: precision and transparency. 	 1998 	 ML 	 https://doi.org/10.1109/5326.661100 	 IEEE Trans. Syst. Man Cybern. Part C 28: 165-169 (1998).
Magne Setnes, Robert Babuska, Uzay Kaymak, H. R. van Nauta Lemke 	 Similarity measures in fuzzy rule base simplification. 	 1998 	 ML 	 https://www.wikidata.org/entity/Q80648853 	 IEEE Trans. Syst. Man Cybern. Part B 28: 376-386 (1998).
M. H. den Hartog, Robert Babuska, H. J. R. Deketh, M. Alvarez Grima, P. N. W. Verhoef, Henk B. Verbruggen 	 Knowledge-based fuzzy model for performance prediction of a rock-cutting trencher. 	 1997 	 ML 	 https://doi.org/10.1016/S0888-613X(96)00118-1 	 Int. J. Approx. Reason. 16: 43-66 (1997).
Mikolás Janota, Choiwah Chow, João Araújo, Michael Codish, Petr Vojtechovský 	 SAT-Based Techniques for Lexicographically Smallest Finite Models. 	 2024 	 FM 	 https://doi.org/10.1609/aaai.v38i8.28643 	 Thirty-Eighth AAAI Conference on Artificial Intelligence, AAAI 2024, Thirty-Sixth Conference on Innovative Applications of Artificial Intelligence, IAAI 2024, Fourteenth Symposium on Educational Advances in Artificial Intelligence, EAAI 2014, February 20-27, 2024, Vancouver, Canada: 8048-8056 (2024).
Chad E. Brown, Mikolás Janota, Mirek Olsák 	 Symbolic Computation for All the Fun. 	 2024 	 FM 	 https://doi.org/10.48550/arXiv.2404.12048 	 arXiv CoRR abs/2404.12048 (2024).
